iter	Passed	Remaining
0	0	31
1	0	29
2	0	27
3	1	24
4	1	24
5	1	24
6	1	24
7	2	25
8	2	26
9	2	26
10	3	27
11	3	27
12	3	26
13	4	25
14	4	25
15	4	24
16	4	24
17	5	23
18	5	23
19	5	23
20	6	23
21	6	23
22	7	23
23	7	23
24	7	23
25	8	23
26	8	23
27	9	23
28	9	23
29	9	22
30	9	22
31	10	21
32	10	21
33	10	20
34	11	20
35	11	20
36	11	19
37	11	19
38	12	18
39	12	18
40	12	18
41	12	17
42	12	17
43	13	16
44	13	16
45	13	15
46	13	15
47	14	15
48	14	14
49	14	14
50	14	14
51	15	14
52	15	13
53	16	13
54	16	13
55	16	12
56	16	12
57	16	12
58	17	11
59	17	11
60	17	11
61	18	11
62	18	10
63	18	10
64	19	10
65	19	10
66	19	9
67	20	9
68	20	9
69	20	8
70	20	8
71	21	8
72	21	7
73	21	7
74	21	7
75	22	6
76	22	6
77	22	6
78	22	6
79	23	5
80	23	5
81	23	5
82	23	4
83	24	4
84	24	4
85	25	4
86	25	3
87	25	3
88	26	3
89	26	2
90	26	2
91	26	2
92	27	2
93	27	1
94	27	1
95	27	1
96	28	0
97	28	0
98	29	0
99	29	0
